start_id,end_id,start_date,end_date,subscription_type
29,29,8/29/2013 13:19,8/29/2013 13:51,Subscriber
29,29,8/29/2013 13:19,8/29/2013 13:50,Subscriber
58,62,8/29/2013 16:25,8/29/2013 16:57,Customer
39,39,8/29/2013 13:27,8/29/2013 14:00,Customer
58,42,8/29/2013 10:17,8/29/2013 10:50,Customer
15,15,8/29/2013 19:17,8/29/2013 19:50,Customer
33,40,8/29/2013 17:50,8/29/2013 18:23,Customer
57,57,8/29/2013 12:18,8/29/2013 12:52,Customer
37,47,8/29/2013 18:22,8/29/2013 18:57,Customer
49,62,8/29/2013 14:12,8/29/2013 14:47,Customer
55,45,8/29/2013 11:22,8/29/2013 11:58,Subscriber
55,47,8/29/2013 16:24,8/29/2013 17:00,Subscriber
34,65,8/29/2013 11:58,8/29/2013 12:33,Subscriber
42,41,8/29/2013 15:26,8/29/2013 16:08,Customer
28,28,8/29/2013 18:50,8/29/2013 19:46,Subscriber
66,42,8/29/2013 16:04,8/29/2013 17:00,Customer
55,58,8/29/2013 10:19,8/29/2013 11:18,Subscriber
49,47,8/29/2013 12:33,8/29/2013 13:33,Customer
55,58,8/29/2013 10:17,8/29/2013 11:17,Subscriber
16,16,8/29/2013 9:31,8/29/2013 10:34,Customer
34,34,8/29/2013 16:17,8/29/2013 17:26,Customer
48,37,8/29/2013 14:07,8/29/2013 15:20,Customer
65,66,8/29/2013 15:00,8/29/2013 16:15,Customer
47,54,8/29/2013 14:13,8/29/2013 15:29,Customer
47,54,8/29/2013 14:13,8/29/2013 15:28,Customer
65,66,8/29/2013 15:00,8/29/2013 16:15,Customer
38,38,8/29/2013 18:22,8/29/2013 19:41,Customer
48,56,8/29/2013 17:00,8/29/2013 18:20,Customer
41,65,8/29/2013 15:09,8/29/2013 16:34,Customer
40,62,8/29/2013 18:12,8/29/2013 19:44,Customer
44,44,8/29/2013 12:06,8/29/2013 13:41,Customer
61,38,8/29/2013 18:11,8/29/2013 19:48,Customer
54,54,8/29/2013 15:40,8/29/2013 17:20,Customer
56,55,8/29/2013 14:35,8/29/2013 16:16,Customer
39,39,8/29/2013 10:49,8/29/2013 12:48,Customer
66,61,8/29/2013 14:04,8/29/2013 16:03,Subscriber
65,65,8/29/2013 15:18,8/29/2013 18:23,Customer
65,65,8/29/2013 15:17,8/29/2013 18:25,Customer
6,4,8/29/2013 13:39,8/29/2013 17:04,Subscriber
65,42,8/29/2013 12:23,8/29/2013 16:37,Customer
38,66,8/29/2013 11:04,8/29/2013 16:08,Customer
38,66,8/29/2013 11:04,8/29/2013 16:08,Customer
42,56,8/29/2013 11:18,8/29/2013 17:18,Customer
21,32,8/29/2013 15:34,8/30/2013 6:12,Subscriber
65,40,8/29/2013 13:43,8/30/2013 13:19,Customer
65,40,8/29/2013 13:37,8/30/2013 13:20,Customer
41,34,8/29/2013 21:41,8/30/2013 21:37,Customer
22,21,8/29/2013 13:30,8/30/2013 16:38,Subscriber
51,51,8/30/2013 16:30,8/30/2013 16:31,Subscriber
66,66,8/30/2013 8:18,8/30/2013 8:19,Customer
9,10,8/30/2013 10:56,8/30/2013 10:57,Subscriber
56,55,8/30/2013 10:44,8/30/2013 10:46,Subscriber
64,66,8/30/2013 12:52,8/30/2013 12:54,Subscriber
43,43,8/30/2013 15:04,8/30/2013 15:06,Customer
40,40,8/30/2013 12:07,8/30/2013 12:09,Customer
65,65,8/30/2013 22:37,8/30/2013 22:39,Subscriber
35,35,8/30/2013 14:14,8/30/2013 14:17,Customer
55,55,8/30/2013 19:32,8/30/2013 19:34,Subscriber
55,55,8/30/2013 15:22,8/30/2013 15:25,Customer
